Nombre,Icfes,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte
INST EDUC DIST JUAN LUIS  LONDOÑO,277.5294,0.0,9.95,10.0,5.0,7.0,10.0,4.25
CENT EDUC DIST REP FEDERAL DE ALEMANIA,281.5357,0.0,6.969999999999999,6.0,5.0,10.0,10.0,7.5
CENT EDUC DIST ALQUERIA LA FRAGUA,281.3846,0.0,9.05,10.0,5.0,10.0,10.0,7.5
CENT EDUC DIST NUEVA ESPERANZA,238.1379,6.0,9.790000000000001,10.0,5.0,6.0,9.45,3.0
CENT EDUC DIST SANTA LIBRADA,255.6567,0.0,7.15,6.0,6.0,6.0,10.0,5.0
COLEGIO FERNANDO GONZALEZ OCHOA,253.7766,0.0,7.85,10.0,5.0,6.0,10.0,4.25
CENT EDUC DIST MANUELA BELTRAN,254.05209999999997,0.0,6.99,10.0,5.0,8.0,10.0,6.25
ORLANDO FALS BORDA (ANTES BARRANQUILLITA),254.0093,0.0,5.65,4.0,6.0,6.25,10.0,4.5
CENT EDUC DIST SAN BERNARDINO,255.57840000000002,8.0,7.5,10.0,5.0,6.25,10.0,4.5
CENT EDUC DIST NUEVA CONSTITUCION,253.35250000000002,0.0,7.2,10.0,5.0,10.0,10.0,5.0
CENT EDUC DIST ALTAMIRA SUR ORIENTAL,242.96120000000002,0.0,9.73,10.0,5.0,7.75,10.0,4.5
COL DIST TOMAS RUEDA VARGAS,253.57229999999998,0.0,7.35,10.0,5.0,10.0,10.0,7.5
COL DIST EDUC BAS Y MEDIA LOS ALPES,249.26349999999996,0.0,7.540000000000001,10.0,5.0,9.0,10.0,5.0
CEDID CIUDAD BOLIVAR,248.39049999999997,0.0,5.1,10.0,6.0,8.0,10.0,5.5
COLEGIO JOSÉ FRANCISCO SOCARRAS (IED) - SEDE PRINCIPAL,256.0107,0.0,8.69,6.0,6.0,6.5,10.0,4.5
COL CUIDADELA EDUCATIVA BOSA (INS EDUC DIST),265.89559999999994,10.0,9.690000000000001,10.0,5.0,6.25,9.600000000000001,3.25
CENT EDUC DIST MARRUECOS Y MOLINOS,263.8401,0.0,9.5,10.0,10.0,8.5,10.0,6.5
CENT EDUC DIST NUEVA COLOMBIA,263.8174,0.0,2.79,10.0,5.0,10.0,10.0,5.5
CENT EDUC DIST ISMAEL PERDOMO,257.71909999999997,0.0,9.15,10.0,10.0,8.0,10.0,5.0
CENT EDUC DIST CLASS,265.6013,0.0,6.45,10.0,7.0,7.0,10.0,4.25
CENT EDUC DIST VILLA ELISA,263.7483,0.0,5.509999999999999,10.0,5.0,10.0,10.0,7.25
COL DIST EDUC BAS Y MEDIA ARBORIZADORA ALTA,259.4587,0.0,6.7,10.0,5.0,8.25,10.0,6.0
CENT EDUC DIST FRANCISCO DE PAULA SANTANDER,262.4904,0.0,5.8,2.0,6.0,6.5,10.0,4.5
CENT EDUC DIST GRAN YOMASA,257.7826,0.0,9.9,10.0,5.0,6.0,10.0,5.25
CENT EDUC DIST JUAN REY,257.5641,8.0,10.0,10.0,5.0,6.5,9.55,3.25
